epoch,train_loss,lr,top1,top5
202,2.462530,0.001313,75.492000,92.458000
203,2.456011,0.001297,75.444000,92.524000
204,2.459359,0.001280,75.478000,92.520000
205,2.450523,0.001264,75.436000,92.468000
206,2.447840,0.001248,75.476000,92.514000
207,2.450497,0.001232,75.522000,92.520000
208,2.451045,0.001217,75.528000,92.476000
209,2.448573,0.001201,75.576000,92.538000
210,2.444334,0.001186,75.514000,92.566000
211,2.445126,0.001171,75.504000,92.584000
212,2.442561,0.001157,75.474000,92.592000
213,2.438341,0.001142,75.506000,92.594000
214,2.434410,0.001128,75.618000,92.576000
215,2.438354,0.001113,75.734000,92.544000
216,2.430515,0.001099,75.710000,92.562000
217,2.432054,0.001085,75.768000,92.584000
218,2.430899,0.001072,75.770000,92.604000
219,2.428481,0.001058,75.804000,92.528000
220,2.428799,0.001045,75.808000,92.594000
221,2.426271,0.001032,75.766000,92.564000
222,2.425017,0.001019,75.706000,92.558000
223,2.420626,0.001006,75.784000,92.656000
224,2.421155,0.000993,75.748000,92.610000
225,2.412499,0.000981,75.778000,92.646000
226,2.415475,0.000968,75.830000,92.610000
227,2.416474,0.000956,75.846000,92.612000
228,2.407074,0.000944,75.852000,92.648000
229,2.405383,0.000932,75.890000,92.684000
230,2.407350,0.000920,75.902000,92.670000
231,2.407859,0.000909,75.976000,92.690000
232,2.404792,0.000897,75.930000,92.720000
233,2.396730,0.000886,75.944000,92.720000
234,2.397600,0.000875,76.014000,92.734000
235,2.393107,0.000864,75.962000,92.742000
236,2.392652,0.000853,75.956000,92.766000
237,2.396537,0.000842,75.962000,92.780000
238,2.396052,0.000832,75.994000,92.756000
239,2.392595,0.000821,76.010000,92.788000
240,2.383549,0.000811,75.986000,92.762000
241,2.384315,0.000800,76.008000,92.716000
242,2.387395,0.000790,76.068000,92.702000
243,2.379993,0.000780,76.120000,92.710000
244,2.384467,0.000771,76.066000,92.744000
245,2.378601,0.000761,76.068000,92.744000
246,2.374192,0.000751,76.046000,92.786000
247,2.380416,0.000742,76.066000,92.772000
248,2.377977,0.000732,76.110000,92.786000
249,2.373611,0.000723,76.084000,92.766000
250,2.368697,0.000714,76.122000,92.802000
251,2.372446,0.000705,76.182000,92.808000
252,2.372129,0.000696,76.138000,92.812000
253,2.365124,0.000687,76.136000,92.794000
254,2.369375,0.000679,76.236000,92.834000
255,2.364894,0.000670,76.272000,92.804000
256,2.362279,0.000662,76.260000,92.792000
257,2.363266,0.000653,76.212000,92.816000
258,2.360188,0.000645,76.178000,92.856000
259,2.354187,0.000637,76.252000,92.884000
260,2.358026,0.000629,76.216000,92.882000
261,2.352575,0.000621,76.206000,92.898000
262,2.354810,0.000613,76.188000,92.882000
263,2.353530,0.000605,76.198000,92.878000
264,2.350353,0.000598,76.210000,92.898000
265,2.343986,0.000590,76.194000,92.894000
266,2.348802,0.000583,76.248000,92.908000
267,2.345445,0.000575,76.304000,92.914000
268,2.342428,0.000568,76.260000,92.880000
269,2.338246,0.000561,76.304000,92.874000
270,2.340113,0.000554,76.290000,92.878000
271,2.339081,0.000547,76.350000,92.862000
272,2.338627,0.000540,76.306000,92.828000
273,2.333565,0.000533,76.364000,92.828000
274,2.330264,0.000527,76.346000,92.856000
275,2.327587,0.000520,76.396000,92.870000
276,2.330902,0.000513,76.306000,92.850000
277,2.330519,0.000507,76.298000,92.896000
278,2.330558,0.000501,76.272000,92.934000
279,2.329915,0.000494,76.310000,92.952000
280,2.324826,0.000488,76.364000,92.916000
281,2.326204,0.000482,76.278000,92.982000
282,2.324367,0.000476,76.294000,93.016000
283,2.318336,0.000470,76.360000,92.990000
284,2.321151,0.000464,76.374000,92.978000
285,2.319450,0.000458,76.424000,92.974000
286,2.316792,0.000452,76.510000,92.972000
287,2.315973,0.000446,76.488000,92.998000
288,2.316698,0.000441,76.460000,92.960000
289,2.321185,0.000435,76.534000,92.970000
290,2.311605,0.000430,76.474000,92.950000
291,2.311846,0.000424,76.464000,92.984000
292,2.312879,0.000419,76.542000,93.014000
293,2.310871,0.000414,76.550000,93.044000
294,2.306531,0.000409,76.530000,93.060000
295,2.307622,0.000403,76.534000,93.044000
296,2.306281,0.000398,76.444000,93.012000
297,2.305152,0.000393,76.428000,93.032000
298,2.305147,0.000388,76.514000,92.978000
299,2.301507,0.000383,76.482000,93.010000
300,2.300377,0.000379,76.544000,93.040000
301,2.301481,0.000374,76.654000,93.038000
302,2.301642,0.000369,76.602000,92.992000
303,2.298900,0.000364,76.592000,93.044000
304,2.298346,0.000360,76.588000,93.032000
305,2.290494,0.000355,76.662000,93.022000
306,2.292590,0.000351,76.622000,92.992000
307,2.293242,0.000346,76.516000,92.984000
308,2.291239,0.000342,76.516000,92.998000
309,2.284555,0.000338,76.518000,93.010000
310,2.289784,0.000333,76.616000,93.016000
311,2.286976,0.000329,76.576000,93.062000
312,2.287708,0.000325,76.574000,93.040000
313,2.279364,0.000321,76.636000,93.004000
314,2.279279,0.000317,76.686000,92.974000
315,2.279009,0.000313,76.574000,92.988000
316,2.279910,0.000309,76.614000,93.030000
317,2.285189,0.000305,76.646000,93.060000
318,2.283059,0.000301,76.692000,93.070000
319,2.282438,0.000297,76.744000,93.056000
320,2.275964,0.000294,76.712000,93.056000
321,2.272867,0.000290,76.688000,93.088000
322,2.277390,0.000286,76.658000,93.048000
323,2.268636,0.000283,76.576000,93.042000
324,2.274477,0.000279,76.648000,93.038000
325,2.267017,0.000276,76.694000,93.060000
326,2.267245,0.000272,76.736000,93.098000
327,2.269221,0.000269,76.654000,93.044000
328,2.271613,0.000265,76.660000,93.110000
329,2.269468,0.000262,76.720000,93.074000
330,2.262405,0.000259,76.752000,93.122000
331,2.268008,0.000255,76.752000,93.094000
332,2.265829,0.000252,76.718000,93.142000
333,2.261943,0.000249,76.728000,93.112000
334,2.264548,0.000246,76.734000,93.154000
335,2.260159,0.000243,76.840000,93.132000
336,2.261472,0.000240,76.738000,93.138000
337,2.259263,0.000237,76.754000,93.180000
338,2.259546,0.000234,76.818000,93.160000
339,2.257709,0.000231,76.828000,93.148000
340,2.259770,0.000228,76.794000,93.150000
341,2.259345,0.000225,76.880000,93.178000
342,2.258111,0.000222,76.862000,93.158000
343,2.254290,0.000219,76.888000,93.148000
344,2.252457,0.000217,76.856000,93.190000
345,2.243969,0.000214,76.852000,93.188000
346,2.246970,0.000211,76.906000,93.232000
347,2.250753,0.000208,76.866000,93.180000
348,2.246952,0.000206,76.790000,93.180000
349,2.244027,0.000203,76.820000,93.146000
350,2.246197,0.000201,76.878000,93.154000
