epoch	unix	utc	trainer_rss_anon_kb	mem_available_kb	swap_used_kb
219	1789425398	2026-09-14 22:36:38	32697652	135138520	7781048
220	1789426101	2026-09-14 22:48:21	32699632	135014420	7777504
221	1789426804	2026-09-14 23:00:04	32700272	134681716	7770712
222	1789427508	2026-09-14 23:11:48	32700740	133460956	7763700
223	1789428208	2026-09-14 23:23:28	32701388	134039876	7758632
224	1789428912	2026-09-14 23:35:12	32153372	134064260	8388212
225	1789429617	2026-09-14 23:46:57	32153984	134657688	8388580
226	1789430320	2026-09-14 23:58:40	32155108	135108408	8380432
227	1789431020	2026-09-15 00:10:20	32147588	135095400	8388584
228	1789431722	2026-09-15 00:22:02	31938644	135686720	8388448
229	1789432423	2026-09-15 00:33:43	31951996	135846520	8352996
230	1789433123	2026-09-15 00:45:23	31953792	135451144	8343220
231	1789433820	2026-09-15 00:57:00	31954584	134303924	8335036
232	1789434514	2026-09-15 01:08:34	31955288	133322100	8325672
233	1789435200	2026-09-15 01:20:00	31956784	134363768	8310088
234	1789435884	2026-09-15 01:31:24	31956852	134271772	8294408
235	1789436573	2026-09-15 01:42:53	31963388	133641252	8286408
236	1789437258	2026-09-15 01:54:18	31963788	133035716	8266836
237	1789437944	2026-09-15 02:05:44	31963936	133170208	8266412
238	1789438632	2026-09-15 02:17:12	31964516	133002732	8242124
239	1789439320	2026-09-15 02:28:40	31965016	133058620	8239752
240	1789440010	2026-09-15 02:40:10		190241340	2032824
241	1789440844	2026-09-15 02:54:04	36652968	131773724	2032592
242	1789441543	2026-09-15 03:05:43	36697336	130381056	2031484
243	1789442243	2026-09-15 03:17:23	36701168	129577968	2031408
244	1789442943	2026-09-15 03:29:03	36703052	129327628	2031404
245	1789443643	2026-09-15 03:40:43	36704340	129257340	2031388
246	1789444343	2026-09-15 03:52:23	36706416	128949064	2031360
247	1789445042	2026-09-15 04:04:02	36707104	129469152	2031324
248	1789445742	2026-09-15 04:15:42	36708432	129464912	2031308
249	1789446442	2026-09-15 04:27:22	36709268	128852924	2031240
250	1789447141	2026-09-15 04:39:01	36709956	128889500	2030824
251	1789447841	2026-09-15 04:50:41	36713336	129537584	2030824
252	1789448542	2026-09-15 05:02:22	36713948	128735500	2030816
253	1789449242	2026-09-15 05:14:02	36714636	128858236	2030808
254	1789449941	2026-09-15 05:25:41	36715268	129913188	2030800
255	1789450642	2026-09-15 05:37:22	36715208	129404968	2030700
256	1789451340	2026-09-15 05:49:00	36715672	128835476	2030600
257	1789452038	2026-09-15 06:00:38	36716116	128961128	2030432
258	1789452738	2026-09-15 06:12:18	36716632	129105832	2030412
259	1789453437	2026-09-15 06:23:57	36716912	128390188	2030404
260	1789454136	2026-09-15 06:35:36	36716436	129359804	2030360
261	1789454836	2026-09-15 06:47:16	36716728	129163384	2030324
262	1789455534	2026-09-15 06:58:54	36717676	128587492	2030292
263	1789456234	2026-09-15 07:10:34	36718488	127739104	2030292
264	1789456922	2026-09-15 07:22:02	36718760	128673016	2030216
265	1789457606	2026-09-15 07:33:26	36355144	127959976	2394604
266	1789458312	2026-09-15 07:45:12	32971764	131308924	5784312
267	1789458996	2026-09-15 07:56:36	32976924	130973988	5779500
268	1789459679	2026-09-15 08:07:59	32979048	131322236	5776984
269	1789460361	2026-09-15 08:19:21	32980664	130587392	5772488
270	1789461044	2026-09-15 08:30:44	32983084	131319988	5769048
271	1789461728	2026-09-15 08:42:08	32984272	131102312	5767812
272	1789462413	2026-09-15 08:53:33	32984728	129889896	5766156
273	1789463098	2026-09-15 09:04:58	32986372	129835572	5765296
274	1789463784	2026-09-15 09:16:24	32986324	129978076	5764908
275	1789464470	2026-09-15 09:27:50	32987568	130478644	5764568
276	1789465184	2026-09-15 09:39:44	32987252	130378608	5764288
277	1789465882	2026-09-15 09:51:22	32988176	129377760	5763840
278	1789466576	2026-09-15 10:02:56	32988540	128229172	5763652
279	1789467280	2026-09-15 10:14:40	32988628	128900572	5763404
280	1789467998	2026-09-15 10:26:38		189439768	2032188
281	1789468836	2026-09-15 10:40:36	36696896	132851856	2380984
282	1789469544	2026-09-15 10:52:24	32065884	137717292	8388440
283	1789470248	2026-09-15 11:04:08	32070088	136705760	8370420
284	1789470947	2026-09-15 11:15:47	32073408	137161132	8360720
285	1789471650	2026-09-15 11:27:30	32076008	136956748	8352296
286	1789472351	2026-09-15 11:39:11	32077412	137060652	8347164
