2026/09/11 06:17:59.155, 3, 35, 210 MHz, 8.02 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:01.156, 0, 35, 210 MHz, 6.99 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:01.156, 1, 34, 210 MHz, 10.79 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:01.156, 2, 34, 210 MHz, 9.89 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:01.156, 3, 35, 210 MHz, 8.05 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:03.160, 0, 35, 210 MHz, 6.93 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:03.161, 1, 34, 210 MHz, 10.79 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:03.161, 2, 34, 210 MHz, 9.96 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:03.161, 3, 35, 210 MHz, 8.05 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:05.163, 0, 35, 210 MHz, 6.93 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:05.163, 1, 34, 210 MHz, 10.80 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:05.163, 2, 34, 210 MHz, 10.06 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:05.163, 3, 35, 210 MHz, 8.04 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:07.163, 0, 35, 210 MHz, 7.18 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:07.164, 1, 34, 210 MHz, 10.94 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:07.164, 2, 34, 210 MHz, 10.06 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:07.164, 3, 35, 210 MHz, 7.96 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:09.164, 0, 35, 210 MHz, 6.87 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:09.164, 1, 34, 210 MHz, 10.88 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:09.164, 2, 34, 210 MHz, 10.22 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:09.164, 3, 35, 210 MHz, 7.95 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:11.164, 0, 35, 210 MHz, 7.14 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:11.165, 1, 34, 210 MHz, 10.73 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:11.165, 2, 34, 210 MHz, 10.41 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:11.165, 3, 35, 210 MHz, 7.98 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:13.165, 0, 34, 210 MHz, 7.32 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:13.165, 1, 34, 210 MHz, 10.68 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:13.165, 2, 34, 210 MHz, 9.93 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:13.165, 3, 35, 210 MHz, 8.00 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:15.165, 0, 34, 210 MHz, 6.74 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:15.165, 1, 34, 210 MHz, 10.72 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:15.166, 2, 34, 210 MHz, 9.95 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:15.166, 3, 35, 210 MHz, 7.98 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:17.166, 0, 34, 210 MHz, 7.09 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:17.166, 1, 34, 210 MHz, 10.58 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:17.166, 2, 34, 210 MHz, 9.92 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:17.166, 3, 35, 210 MHz, 8.00 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:19.166, 0, 34, 210 MHz, 7.29 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:19.167, 1, 34, 210 MHz, 10.57 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:19.167, 2, 34, 210 MHz, 9.93 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:19.167, 3, 35, 210 MHz, 7.93 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:21.167, 0, 34, 210 MHz, 6.84 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:21.167, 1, 34, 210 MHz, 10.77 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:21.167, 2, 34, 210 MHz, 10.31 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:21.167, 3, 34, 210 MHz, 7.95 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:23.167, 0, 34, 210 MHz, 7.04 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:23.167, 1, 34, 210 MHz, 10.66 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:23.168, 2, 34, 210 MHz, 10.41 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:23.168, 3, 34, 210 MHz, 8.02 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:25.168, 0, 34, 210 MHz, 7.28 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:25.168, 1, 34, 210 MHz, 10.62 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:25.168, 2, 34, 210 MHz, 10.19 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:25.168, 3, 34, 210 MHz, 8.12 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:27.168, 0, 34, 210 MHz, 6.91 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:27.169, 1, 34, 210 MHz, 10.62 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:27.169, 2, 34, 210 MHz, 10.39 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:27.169, 3, 34, 210 MHz, 8.10 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:29.169, 0, 34, 210 MHz, 7.09 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
