utc	epoch	pid	etime_s	rss_gib	arena_class_gib	arena_class_maps	threads
2026-09-19 21:17:24	101	341435	34029	4.88	3.77	325	168
2026-09-19 21:17:24	101	379793	23096	4.85	3.71	323	168
2026-09-19 21:17:24	101	418700	12118	4.84	3.67	341	168
2026-09-19 21:17:24	101	457206	1112	4.72	3.31	379	168
2026-09-19 21:35:55	102	341435	35140	4.87	3.76	322	168
2026-09-19 21:35:55	102	379793	24207	5.01	3.82	321	168
2026-09-19 21:35:55	102	418700	13229	4.88	3.71	338	168
2026-09-19 21:35:55	102	457206	2223	5.03	3.61	377	168
2026-09-19 21:53:56	103	341435	36221	4.88	3.68	323	168
2026-09-19 21:53:56	103	379793	25288	4.95	3.68	320	168
2026-09-19 21:53:56	103	418700	14310	4.67	3.56	335	168
2026-09-19 21:53:56	103	457206	3304	4.82	3.63	373	168
2026-09-19 22:11:57	104	341435	37301	4.91	3.82	324	168
2026-09-19 22:11:57	104	379793	26369	4.92	3.73	320	168
2026-09-19 22:11:57	104	418700	15391	4.91	3.73	332	168
2026-09-19 22:11:57	104	457206	4385	4.81	3.65	373	168
2026-09-19 22:29:58	105	341435	38382	4.99	3.82	322	168
2026-09-19 22:29:58	105	379793	27450	4.91	3.77	320	168
2026-09-19 22:29:58	105	418700	16472	4.94	3.61	330	168
2026-09-19 22:29:58	105	457206	5466	4.97	3.62	368	168
2026-09-19 22:48:29	106	341435	39494	5.04	3.84	323	168
2026-09-19 22:48:29	106	379793	28561	5.03	3.74	318	168
2026-09-19 22:48:29	106	418700	17583	4.93	3.74	330	168
2026-09-19 22:48:29	106	457206	6577	4.84	3.66	365	168
2026-09-19 23:06:59	107	341435	40604	5.04	3.91	322	168
2026-09-19 23:07:00	107	379793	29672	4.85	3.71	317	168
2026-09-19 23:07:00	107	418700	18694	4.88	3.70	327	168
2026-09-19 23:07:00	107	457206	7688	4.97	3.50	364	168
2026-09-19 23:25:00	108	341435	41685	5.04	3.90	324	168
2026-09-19 23:25:00	108	379793	30753	4.75	3.63	317	168
2026-09-19 23:25:01	108	418700	19775	4.76	3.58	323	168
2026-09-19 23:25:01	108	457206	8768	4.71	3.56	362	168
2026-09-19 23:43:31	109	341435	42796	5.14	3.99	325	168
2026-09-19 23:43:31	109	379793	31864	4.88	3.77	321	168
2026-09-19 23:43:32	109	418700	20886	4.90	3.72	324	168
2026-09-19 23:43:32	109	457206	9879	5.07	3.61	360	168
2026-09-20 00:01:32	110	379793	32944	4.95	3.85	321	168
2026-09-20 00:01:32	110	418700	21967	4.96	3.77	323	168
2026-09-20 00:01:32	110	457206	10960	4.79	3.63	357	168
2026-09-20 00:01:32	110	495583	3	0.57	0.06	132	73
2026-09-20 00:20:03	111	379793	34055	5.13	3.83	321	168
2026-09-20 00:20:03	111	418700	23077	4.99	3.80	322	168
2026-09-20 00:20:03	111	457206	12071	4.84	3.68	351	168
2026-09-20 00:20:03	111	495583	1114	4.94	3.37	378	168
2026-09-20 00:38:34	112	379793	35166	5.01	3.84	317	168
2026-09-20 00:38:34	112	418700	24188	5.05	3.87	324	168
2026-09-20 00:38:34	112	457206	13182	4.89	3.72	349	168
2026-09-20 00:38:34	112	495583	2225	4.84	3.59	375	168
2026-09-20 00:56:35	113	379793	36247	4.95	3.69	317	168
2026-09-20 00:56:35	113	418700	25269	4.68	3.48	324	168
2026-09-20 00:56:35	113	457206	14263	4.68	3.49	344	168
2026-09-20 00:56:35	113	495583	3306	4.56	3.50	371	168
2026-09-20 01:15:06	114	379793	37358	4.92	3.78	318	168
2026-09-20 01:15:06	114	418700	26380	4.78	3.60	322	168
2026-09-20 01:15:06	114	457206	15374	4.79	3.62	338	168
2026-09-20 01:15:06	114	495583	4417	4.68	3.62	369	168
2026-09-20 01:33:07	115	379793	38439	4.84	3.73	319	168
2026-09-20 01:33:07	115	418700	27461	4.80	3.64	323	168
2026-09-20 01:33:07	115	457206	16455	4.76	3.61	336	168
2026-09-20 01:33:07	115	495583	5498	4.62	3.47	366	168
2026-09-20 01:51:38	116	379793	39550	5.28	3.87	320	168
2026-09-20 01:51:38	116	418700	28572	5.34	3.68	324	168
2026-09-20 01:51:38	116	457206	17566	4.88	3.59	331	168
2026-09-20 01:51:38	116	495583	6609	4.70	3.55	364	168
2026-09-20 02:09:39	117	379793	40631	5.24	3.90	321	168
2026-09-20 02:09:39	117	418700	29653	5.08	3.79	322	168
2026-09-20 02:09:39	117	457206	18646	4.96	3.65	331	168
2026-09-20 02:09:39	117	495583	7690	4.91	3.70	363	168
2026-09-20 02:28:09	118	379793	41742	5.67	4.00	318	168
2026-09-20 02:28:10	118	418700	30764	4.95	3.78	325	168
2026-09-20 02:28:10	118	457206	19757	4.86	3.69	332	168
2026-09-20 02:28:10	118	495583	8801	4.88	3.73	363	168
2026-09-20 02:46:10	119	379793	42823	5.25	4.08	319	168
2026-09-20 02:46:11	119	418700	31845	4.91	3.76	321	168
2026-09-20 02:46:11	119	457206	20838	4.90	3.72	332	168
2026-09-20 02:46:11	119	495583	9882	4.90	3.75	357	168
