epoch	lr	train_loss	top1_n	top1	top5	val_loss	train_s	val_s
133	0.000162	3.4629	39866	0.7973	0.9487	0.8815	899.8	17.6
134	0.000161	3.4577	39848	0.797	0.9489	0.8803	899.3	17.7
135	0.00016	3.4482	39850	0.797	0.9492	0.8805	899.5	17.6
136	0.000158	3.4452	39823	0.7965	0.9487	0.8803	899.5	17.7
137	0.000157	3.4388	39805	0.7961	0.949	0.8784	899.3	17.6
138	0.000156	3.4362	39842	0.7968	0.9493	0.8766	899.2	17.9
139	0.000154	3.451	39831	0.7966	0.9493	0.875	899.3	17.6
140	0.000153	3.4448	39866	0.7973	0.9498	0.8749	899.4	17.7
141	0.000151	3.4435	39861	0.7972	0.9498	0.8725	899.2	17.6
142	0.00015	3.4372	39884	0.7977	0.9496	0.8711	899.5	17.6
143	0.000149	3.4351	39901	0.798	0.9493	0.8714	899.6	17.8
144	0.000147	3.4274	39942	0.7988	0.9495	0.871	899.5	17.6
145	0.000146	3.4138	39978	0.7996	0.9491	0.8698	899.6	17.7
146	0.000145	3.4273	39966	0.7993	0.9496	0.8695	900.5	17.6
147	0.000143	3.4176	39952	0.799	0.9499	0.8681	900.7	17.7
148	0.000142	3.4153	39992	0.7998	0.9506	0.8667	900.4	17.6
149	0.00014	3.4209	40016	0.8003	0.951	0.8653	900.7	17.8
150	0.000139	3.4041	40074	0.8015	0.9505	0.8639	899.6	17.6
151	0.000138	3.3954	40088	0.8018	0.9511	0.8629	899.4	17.6
152	0.000136	3.3937	40101	0.802	0.9509	0.8617	899.1	17.6
153	0.000135	3.3976	40072	0.8014	0.95	0.8619	899.4	17.7
154	0.000133	3.3776	40063	0.8013	0.9506	0.8611	899.3	17.6
155	0.000132	3.383	40050	0.801	0.9514	0.8604	899.6	17.8
156	0.000131	3.3853	40070	0.8014	0.9515	0.8597	899.5	17.6
157	0.000129	3.3762	40089	0.8018	0.9512	0.8588	900.5	17.7
158	0.000128	3.3683	40106	0.8021	0.9518	0.8585	900.4	17.6
159	0.000126	3.3656	40126	0.8025	0.9523	0.8569	899.6	17.6
160	0.000125	3.3595	40150	0.803	0.952	0.856	899.5	17.8
161	0.000124	3.3647	40170	0.8034	0.9519	0.8549	899.7	17.6
162	0.000122	3.3671	40218	0.8044	0.952	0.8533	899.2	17.7
163	0.000121	3.3497	40208	0.8042	0.9519	0.8517	899.2	17.6
164	0.000119	3.3425	40160	0.8032	0.9518	0.8502	899.2	17.7
165	0.000118	3.3427	40180	0.8036	0.9523	0.8487	899.2	17.6
166	0.000117	3.342	40183	0.8037	0.9525	0.8489	898.9	17.8
167	0.000115	3.3257	40254	0.8051	0.9519	0.8485	899.4	17.6
168	0.000114	3.3413	40284	0.8057	0.9521	0.8473	898.9	17.7
169	0.000112	3.3312	40268	0.8054	0.9524	0.847	899.1	17.6
170	0.000111	3.3199	40251	0.805	0.9521	0.847	899.1	17.7
171	0.00011	3.3047	40294	0.8059	0.9529	0.8452	899.0	17.6
172	0.000108	3.3087	40304	0.8061	0.9534	0.8437	899.0	17.9
173	0.000107	3.3134	40276	0.8055	0.9535	0.8436	899.0	17.6
174	0.000105	3.3003	40268	0.8054	0.9531	0.8423	899.1	17.7
