sigma,img_idx,delta,dg,bound,ratio
0.120000,9750,0.750000,0.000000,6.250000,0.000000
0.120000,9750,1.000000,0.000000,8.333333,0.000000
0.250000,0,0.100000,0.000000,0.400000,0.000000
0.250000,0,0.200000,0.000000,0.800000,0.000000
0.250000,0,0.300000,0.000000,1.200000,0.000000
0.250000,0,0.500000,0.000000,2.000000,0.000000
0.250000,0,0.750000,0.000000,3.000000,0.000000
0.250000,0,1.000000,0.000000,4.000000,0.000000
0.250000,250,0.100000,0.000000,0.400000,0.000000
0.250000,250,0.200000,0.000000,0.800000,0.000000
0.250000,250,0.300000,0.000000,1.200000,0.000000
0.250000,250,0.500000,0.000000,2.000000,0.000000
0.250000,250,0.750000,0.000000,3.000000,0.000000
0.250000,250,1.000000,0.000000,4.000000,0.000000
0.250000,500,0.100000,0.000000,0.400000,0.000000
0.250000,500,0.200000,0.000000,0.800000,0.000000
0.250000,500,0.300000,0.000000,1.200000,0.000000
0.250000,500,0.500000,0.000000,2.000000,0.000000
0.250000,500,0.750000,0.000000,3.000000,0.000000
0.250000,500,1.000000,0.000000,4.000000,0.000000
0.250000,750,0.100000,0.000000,0.400000,0.000000
0.250000,750,0.200000,0.000000,0.800000,0.000000
0.250000,750,0.300000,0.000000,1.200000,0.000000
0.250000,750,0.500000,0.000000,2.000000,0.000000
0.250000,750,0.750000,0.000000,3.000000,0.000000
0.250000,750,1.000000,0.000000,4.000000,0.000000
0.250000,1000,0.100000,0.000000,0.400000,0.000000
0.250000,1000,0.200000,0.000000,0.800000,0.000000
0.250000,1000,0.300000,0.000000,1.200000,0.000000
0.250000,1000,0.500000,0.000000,2.000000,0.000000
0.250000,1000,0.750000,0.000000,3.000000,0.000000
0.250000,1000,1.000000,0.000000,4.000000,0.000000
0.250000,1250,0.100000,0.058619,0.400000,0.146547
0.250000,1250,0.200000,0.098720,0.800000,0.123400
0.250000,1250,0.300000,0.159680,1.200000,0.133067
0.250000,1250,0.500000,0.130032,2.000000,0.065016
0.250000,1250,0.750000,0.123910,3.000000,0.041303
0.250000,1250,1.000000,0.260183,4.000000,0.065046
0.250000,1500,0.100000,0.059738,0.400000,0.149344
0.250000,1500,0.200000,0.069734,0.800000,0.087168
0.250000,1500,0.300000,0.042469,1.200000,0.035391
0.250000,1500,0.500000,0.005923,2.000000,0.002961
0.250000,1500,0.750000,0.017705,3.000000,0.005902
0.250000,1500,1.000000,0.138262,4.000000,0.034566
0.250000,1750,0.100000,0.000000,0.400000,0.000000
0.250000,1750,0.200000,0.000000,0.800000,0.000000
0.250000,1750,0.300000,0.000000,1.200000,0.000000
0.250000,1750,0.500000,0.000000,2.000000,0.000000
0.250000,1750,0.750000,0.000000,3.000000,0.000000
0.250000,1750,1.000000,0.000000,4.000000,0.000000
0.250000,2000,0.100000,0.000000,0.400000,0.000000
0.250000,2000,0.200000,0.000000,0.800000,0.000000
0.250000,2000,0.300000,0.000000,1.200000,0.000000
0.250000,2000,0.500000,0.000000,2.000000,0.000000
0.250000,2000,0.750000,0.000000,3.000000,0.000000
0.250000,2000,1.000000,0.000000,4.000000,0.000000
0.250000,2250,0.100000,0.000000,0.400000,0.000000
0.250000,2250,0.200000,0.000000,0.800000,0.000000
0.250000,2250,0.300000,0.000000,1.200000,0.000000
0.250000,2250,0.500000,0.000000,2.000000,0.000000
0.250000,2250,0.750000,0.000000,3.000000,0.000000
0.250000,2250,1.000000,0.000000,4.000000,0.000000
0.250000,2500,0.100000,0.000000,0.400000,0.000000
0.250000,2500,0.200000,0.000000,0.800000,0.000000
0.250000,2500,0.300000,0.000000,1.200000,0.000000
0.250000,2500,0.500000,0.000000,2.000000,0.000000
0.250000,2500,0.750000,0.000000,3.000000,0.000000
0.250000,2500,1.000000,0.000000,4.000000,0.000000
0.250000,2750,0.100000,0.160356,0.400000,0.400890
0.250000,2750,0.200000,0.219472,0.800000,0.274340
0.250000,2750,0.300000,0.089386,1.200000,0.074488
0.250000,2750,0.500000,0.160356,2.000000,0.080178
0.250000,2750,0.750000,0.160356,3.000000,0.053452
0.250000,2750,1.000000,0.314953,4.000000,0.078738
0.250000,3000,0.100000,0.389835,0.400000,0.974588
0.250000,3000,0.200000,0.199924,0.800000,0.249905
0.250000,3000,0.300000,0.122248,1.200000,0.101874
0.250000,3000,0.500000,0.122248,2.000000,0.061124
0.250000,3000,0.750000,0.199924,3.000000,0.066641
0.250000,3000,1.000000,0.282604,4.000000,0.070651
0.250000,3250,0.100000,0.000000,0.400000,0.000000
0.250000,3250,0.200000,0.000000,0.800000,0.000000
0.250000,3250,0.300000,0.000000,1.200000,0.000000
0.250000,3250,0.500000,0.000000,2.000000,0.000000
0.250000,3250,0.750000,0.000000,3.000000,0.000000
0.250000,3250,1.000000,0.000000,4.000000,0.000000
0.250000,3500,0.100000,0.000000,0.400000,0.000000
0.250000,3500,0.200000,0.000000,0.800000,0.000000
0.250000,3500,0.300000,0.000000,1.200000,0.000000
0.250000,3500,0.500000,0.000000,2.000000,0.000000
0.250000,3500,0.750000,0.000000,3.000000,0.000000
0.250000,3500,1.000000,0.000000,4.000000,0.000000
0.250000,3750,0.100000,0.000000,0.400000,0.000000
0.250000,3750,0.200000,0.000000,0.800000,0.000000
0.250000,3750,0.300000,0.000000,1.200000,0.000000
0.250000,3750,0.500000,0.000000,2.000000,0.000000
0.250000,3750,0.750000,0.000000,3.000000,0.000000
0.250000,3750,1.000000,0.000000,4.000000,0.000000
0.250000,4000,0.100000,0.000000,0.400000,0.000000
0.250000,4000,0.200000,0.122248,0.800000,0.152810
0.250000,4000,0.300000,0.122248,1.200000,0.101874
0.250000,4000,0.500000,0.089386,2.000000,0.044693
0.250000,4000,0.750000,0.160356,3.000000,0.053452
0.250000,4000,1.000000,0.000000,4.000000,0.000000
0.250000,4250,0.100000,0.000000,0.400000,0.000000
0.250000,4250,0.200000,0.000000,0.800000,0.000000
0.250000,4250,0.300000,0.000000,1.200000,0.000000
0.250000,4250,0.500000,0.000000,2.000000,0.000000
0.250000,4250,0.750000,0.000000,3.000000,0.000000
0.250000,4250,1.000000,0.000000,4.000000,0.000000
0.250000,4500,0.100000,0.093081,0.400000,0.232702
0.250000,4500,0.200000,0.065710,0.800000,0.082137
0.250000,4500,0.300000,0.121825,1.200000,0.101521
0.250000,4500,0.500000,0.190793,2.000000,0.095396
0.250000,4500,0.750000,0.177594,3.000000,0.059198
0.250000,4500,1.000000,0.262138,4.000000,0.065535
0.250000,4750,0.100000,0.000000,0.400000,0.000000
0.250000,4750,0.200000,0.000000,0.800000,0.000000
0.250000,4750,0.300000,0.000000,1.200000,0.000000
0.250000,4750,0.500000,0.000000,2.000000,0.000000
0.250000,4750,0.750000,0.000000,3.000000,0.000000
0.250000,4750,1.000000,0.000000,4.000000,0.000000
0.250000,5000,0.100000,0.000000,0.400000,0.000000
0.250000,5000,0.200000,0.000000,0.800000,0.000000
0.250000,5000,0.300000,0.000000,1.200000,0.000000
0.250000,5000,0.500000,0.000000,2.000000,0.000000
0.250000,5000,0.750000,0.000000,3.000000,0.000000
0.250000,5000,1.000000,0.000000,4.000000,0.000000
0.250000,5250,0.100000,0.000000,0.400000,0.000000
0.250000,5250,0.200000,0.000000,0.800000,0.000000
0.250000,5250,0.300000,0.000000,1.200000,0.000000
0.250000,5250,0.500000,0.000000,2.000000,0.000000
0.250000,5250,0.750000,0.000000,3.000000,0.000000
0.250000,5250,1.000000,0.000000,4.000000,0.000000
0.250000,5500,0.100000,0.000000,0.400000,0.000000
0.250000,5500,0.200000,0.000000,0.800000,0.000000
0.250000,5500,0.300000,0.000000,1.200000,0.000000
0.250000,5500,0.500000,0.000000,2.000000,0.000000
0.250000,5500,0.750000,0.000000,3.000000,0.000000
0.250000,5500,1.000000,0.000000,4.000000,0.000000
0.250000,5750,0.100000,0.000000,0.400000,0.000000
0.250000,5750,0.200000,0.000000,0.800000,0.000000
0.250000,5750,0.300000,0.000000,1.200000,0.000000
0.250000,5750,0.500000,0.000000,2.000000,0.000000
0.250000,5750,0.750000,0.000000,3.000000,0.000000
0.250000,5750,1.000000,0.000000,4.000000,0.000000
0.250000,6000,0.100000,0.000000,0.400000,0.000000
0.250000,6000,0.200000,0.000000,0.800000,0.000000
0.250000,6000,0.300000,0.000000,1.200000,0.000000
