ts,card,edge_C,junction_C,mem_C,sclk_MHz,power_W,use_pct
2026-07-01 18:42:19,card0,67.0,85.0,86.0,2946,318.0,100
2026-07-01 18:42:19,card1,58.0,80.0,74.0,3008,148.0,100
2026-07-01 18:42:49,card0,67.0,85.0,86.0,2971,333.0,100
2026-07-01 18:42:49,card1,58.0,80.0,74.0,2771,295.0,100
2026-07-01 18:43:19,card0,68.0,85.0,86.0,3093,169.0,100
2026-07-01 18:43:19,card1,58.0,80.0,74.0,3057,156.0,100
2026-07-01 18:43:49,card0,68.0,85.0,86.0,3093,170.0,100
2026-07-01 18:43:49,card1,58.0,80.0,74.0,3054,157.0,100
2026-07-01 18:44:20,card0,67.0,85.0,86.0,2845,305.0,100
2026-07-01 18:44:20,card1,58.0,80.0,74.0,2764,291.0,100
2026-07-01 18:44:50,card0,68.0,85.0,86.0,2864,301.0,100
2026-07-01 18:44:50,card1,58.0,80.0,74.0,2804,321.0,100
2026-07-01 18:45:20,card0,68.0,85.0,86.0,2947,308.0,100
2026-07-01 18:45:20,card1,58.0,80.0,74.0,2804,339.0,100
2026-07-01 18:45:50,card0,68.0,85.0,86.0,2788,215.0,100
2026-07-01 18:45:50,card1,58.0,80.0,74.0,2748,297.0,100
2026-07-01 18:46:20,card0,67.0,85.0,86.0,2909,308.0,100
2026-07-01 18:46:20,card1,58.0,80.0,74.0,2801,300.0,100
2026-07-01 18:46:50,card0,67.0,84.0,85.0,2913,243.0,100
2026-07-01 18:46:50,card1,58.0,80.0,74.0,3051,166.0,100
2026-07-01 18:47:20,card0,67.0,84.0,86.0,3095,175.0,100
2026-07-01 18:47:20,card1,58.0,80.0,74.0,3062,164.0,100
2026-07-01 18:47:50,card0,67.0,84.0,85.0,2939,308.0,100
2026-07-01 18:47:50,card1,58.0,80.0,74.0,2816,303.0,100
2026-07-01 18:48:20,card0,67.0,84.0,85.0,2892,316.0,100
2026-07-01 18:48:20,card1,59.0,80.0,74.0,2749,286.0,100
2026-07-01 18:48:51,card0,67.0,85.0,86.0,2896,341.0,100
2026-07-01 18:48:51,card1,59.0,80.0,74.0,2772,292.0,100
2026-07-01 18:49:21,card0,67.0,85.0,86.0,2931,294.0,100
2026-07-01 18:49:21,card1,58.0,80.0,74.0,2822,314.0,100
2026-07-01 18:49:51,card0,67.0,85.0,86.0,2855,300.0,100
2026-07-01 18:49:51,card1,58.0,80.0,74.0,2779,291.0,100
2026-07-01 18:50:21,card0,67.0,85.0,86.0,2880,336.0,100
2026-07-01 18:50:21,card1,58.0,80.0,74.0,2765,291.0,100
2026-07-01 18:50:51,card0,68.0,85.0,86.0,2861,358.0,100
