utc	epoch	pid	etime_s	rss_gib	arena_class_gib	arena_class_maps	threads
2026-09-24 21:16:29	17	1098275	21402	4.86	3.74	354	168
2026-09-24 21:16:29	17	1098459	21400	4.92	3.80	357	168
2026-09-24 21:37:30	18	1097148	22678	4.88	3.72	390	168
2026-09-24 21:37:30	18	1097262	22677	4.95	3.80	356	168
2026-09-24 21:37:30	18	1097442	22674	4.90	3.77	354	168
2026-09-24 21:37:30	18	1097667	22672	4.91	3.77	347	168
2026-09-24 21:37:30	18	1097888	22669	4.94	3.82	352	168
2026-09-24 21:37:30	18	1098094	22666	4.85	3.72	359	168
2026-09-24 21:37:31	18	1098275	22664	4.86	3.75	353	168
2026-09-24 21:37:31	18	1098459	22661	4.92	3.82	357	168
2026-09-24 21:58:31	19	1097148	23940	4.90	3.75	393	168
2026-09-24 21:58:31	19	1097262	23938	4.91	3.77	355	168
2026-09-24 21:58:31	19	1097442	23936	4.90	3.77	351	168
2026-09-24 21:58:32	19	1097667	23933	4.85	3.70	341	168
2026-09-24 21:58:32	19	1097888	23930	4.86	3.75	347	168
2026-09-24 21:58:32	19	1098094	23928	4.81	3.72	360	168
2026-09-24 21:58:32	19	1098275	23925	4.88	3.77	349	168
2026-09-24 21:58:32	19	1098459	23923	4.88	3.78	356	168
2026-09-24 22:19:33	20	1097148	25201	4.93	3.77	386	168
2026-09-24 22:19:33	20	1097262	25199	4.89	3.75	355	168
2026-09-24 22:19:33	20	1097442	25197	4.98	3.85	352	168
2026-09-24 22:19:33	20	1097667	25194	4.90	3.74	340	168
2026-09-24 22:19:33	20	1097888	25192	4.91	3.79	347	168
2026-09-24 22:19:33	20	1098094	25189	4.81	3.71	358	168
2026-09-24 22:19:33	20	1098275	25187	4.83	3.72	349	168
2026-09-24 22:19:33	20	1098459	25184	4.95	3.86	357	168
2026-09-24 22:40:34	21	1097148	26462	4.91	3.74	386	168
2026-09-24 22:40:34	21	1097262	26461	4.92	3.79	352	168
2026-09-24 22:40:34	21	1097442	26458	4.91	3.79	353	168
2026-09-24 22:40:34	21	1097667	26456	4.93	3.80	342	168
2026-09-24 22:40:34	21	1097888	26453	4.94	3.81	347	168
2026-09-24 22:40:35	21	1098094	26451	4.89	3.81	357	168
2026-09-24 22:40:35	21	1098275	26448	4.81	3.71	356	168
2026-09-24 22:40:35	21	1098459	26445	4.88	3.78	356	168
2026-09-24 23:01:35	22	1097148	27724	4.91	3.73	385	168
2026-09-24 23:01:35	22	1097262	27722	4.90	3.77	351	168
2026-09-24 23:01:36	22	1097442	27720	4.94	3.83	353	168
2026-09-24 23:01:36	22	1097667	27717	4.95	3.83	344	168
2026-09-24 23:01:36	22	1097888	27714	4.87	3.73	342	168
2026-09-24 23:01:36	22	1098094	27712	4.84	3.76	356	168
2026-09-24 23:01:36	22	1098275	27709	4.78	3.68	349	168
2026-09-24 23:01:36	22	1098459	27707	4.94	3.83	358	168
2026-09-24 23:22:37	23	1097148	28985	4.98	3.80	385	168
2026-09-24 23:22:37	23	1097262	28983	4.89	3.75	349	168
2026-09-24 23:22:37	23	1097442	28981	5.00	3.85	350	168
2026-09-24 23:22:37	23	1097667	28978	4.92	3.76	336	168
2026-09-24 23:22:37	23	1097888	28976	4.85	3.71	346	168
2026-09-24 23:22:37	23	1098094	28973	4.93	3.85	353	168
2026-09-24 23:22:37	23	1098275	28971	4.85	3.74	350	168
2026-09-24 23:22:37	23	1098459	28968	5.01	3.88	356	168
2026-09-24 23:43:38	24	1097148	30246	5.02	3.85	389	168
2026-09-24 23:43:38	24	1097262	30245	4.89	3.74	347	168
2026-09-24 23:43:38	24	1097442	30242	4.95	3.83	347	168
2026-09-24 23:43:38	24	1097667	30240	4.87	3.73	333	168
2026-09-24 23:43:38	24	1097888	30237	4.83	3.70	344	168
2026-09-24 23:43:39	24	1098094	30235	4.78	3.86	348	168
2026-09-24 23:43:39	24	1098275	30232	4.83	3.73	344	168
2026-09-24 23:43:39	24	1098459	30229	4.96	3.84	354	168
2026-09-25 00:04:09	25	1097148	31478	5.02	3.83	385	168
2026-09-25 00:04:09	25	1097262	31476	4.94	3.80	348	168
2026-09-25 00:04:10	25	1097442	31474	4.97	3.84	349	168
2026-09-25 00:04:10	25	1097667	31471	4.91	3.76	333	168
2026-09-25 00:04:10	25	1097888	31468	4.90	3.77	343	168
2026-09-25 00:04:10	25	1098094	31466	4.90	3.83	354	168
2026-09-25 00:04:10	25	1098275	31463	4.83	3.76	342	168
2026-09-25 00:04:10	25	1098459	31461	5.05	3.91	357	168
2026-09-25 00:25:11	26	1097148	32739	4.96	3.81	387	168
2026-09-25 00:25:11	26	1097262	32737	4.98	3.83	348	168
2026-09-25 00:25:11	26	1097442	32735	5.02	3.89	349	168
2026-09-25 00:25:11	26	1097667	32732	4.89	3.74	332	168
2026-09-25 00:25:11	26	1097888	32730	4.89	3.75	337	168
2026-09-25 00:25:11	26	1098094	32727	4.90	3.86	348	168
2026-09-25 00:25:11	26	1098275	32725	4.87	3.77	341	168
2026-09-25 00:25:11	26	1098459	32722	5.00	3.86	352	168
2026-09-25 00:46:12	27	1097148	34000	4.97	3.82	380	168
2026-09-25 00:46:12	27	1097262	33999	4.90	3.76	350	168
2026-09-25 00:46:12	27	1097442	33996	4.95	3.84	344	168
2026-09-25 00:46:12	27	1097667	33994	4.92	3.77	331	168
2026-09-25 00:46:12	27	1097888	33991	4.89	3.74	338	168
2026-09-25 00:46:13	27	1098094	33989	4.83	3.78	347	168
2026-09-25 00:46:13	27	1098275	33986	4.88	3.76	341	168
2026-09-25 00:46:13	27	1098459	33983	5.03	3.90	357	168
2026-09-25 01:07:13	28	1097148	35262	4.90	3.85	384	168
2026-09-25 01:07:13	28	1097262	35260	4.92	3.76	350	168
2026-09-25 01:07:14	28	1097442	35258	4.85	3.74	341	168
2026-09-25 01:07:14	28	1097667	35255	4.92	3.78	331	168
2026-09-25 01:07:14	28	1097888	35253	4.85	3.72	341	168
2026-09-25 01:07:14	28	1098094	35250	4.85	3.80	347	168
2026-09-25 01:07:14	28	1098275	35247	4.86	3.74	344	168
2026-09-25 01:07:14	28	1098459	35245	4.98	3.84	356	168
2026-09-25 01:27:45	29	1097148	36493	4.99	3.85	383	168
2026-09-25 01:27:45	29	1097262	36491	4.90	3.77	352	168
2026-09-25 01:27:45	29	1097442	36489	4.89	3.76	346	168
2026-09-25 01:27:45	29	1097667	36486	4.90	3.77	330	168
2026-09-25 01:27:45	29	1097888	36484	4.94	3.81	339	168
2026-09-25 01:27:45	29	1098094	36481	4.90	3.87	345	168
2026-09-25 01:27:45	29	1098275	36479	4.89	3.80	341	168
2026-09-25 01:27:45	29	1098459	36476	4.91	3.77	353	168
2026-09-25 01:48:46	30	1097148	37755	4.97	3.83	382	168
2026-09-25 01:48:46	30	1097262	37753	5.01	3.86	350	168
2026-09-25 01:48:46	30	1097442	37750	4.91	3.78	343	168
2026-09-25 01:48:46	30	1097667	37748	4.92	3.79	331	168
2026-09-25 01:48:47	30	1097888	37745	4.85	3.73	334	168
2026-09-25 01:48:47	30	1098094	37743	4.94	3.89	348	168
2026-09-25 01:48:47	30	1098275	37740	4.87	3.78	339	168
2026-09-25 01:48:47	30	1098459	37737	4.89	3.79	352	168
2026-09-25 02:09:47	31	1097148	39016	4.96	3.81	382	168
2026-09-25 02:09:48	31	1097262	39014	4.96	3.80	350	168
2026-09-25 02:09:48	31	1097442	39012	4.90	3.78	339	168
2026-09-25 02:09:48	31	1097667	39009	4.90	3.73	331	168
2026-09-25 02:09:48	31	1097888	39007	4.87	3.74	336	168
2026-09-25 02:09:48	31	1098094	39004	4.87	3.83	344	168
2026-09-25 02:09:48	31	1098275	39001	4.90	3.78	344	168
2026-09-25 02:09:48	31	1098459	38999	4.98	3.86	352	168
2026-09-25 02:30:49	32	1097148	40277	4.96	3.83	390	168
2026-09-25 02:30:49	32	1097262	40276	4.91	3.76	349	168
2026-09-25 02:30:49	32	1097442	40273	4.88	3.77	340	168
2026-09-25 02:30:49	32	1097667	40270	4.94	3.78	331	168
2026-09-25 02:30:49	32	1097888	40268	4.83	3.71	336	168
2026-09-25 02:30:49	32	1098094	40265	4.80	3.77	344	168
2026-09-25 02:30:49	32	1098275	40263	4.91	3.82	342	168
2026-09-25 02:30:50	32	1098459	40260	4.93	3.81	353	168
2026-09-25 02:51:50	33	1097148	41539	4.98	3.84	381	168
2026-09-25 02:51:50	33	1097262	41537	4.90	3.77	347	168
2026-09-25 02:51:50	33	1097442	41534	4.94	3.82	337	168
2026-09-25 02:51:50	33	1097667	41532	4.85	3.71	330	168
2026-09-25 02:51:51	33	1097888	41529	4.83	3.72	336	168
2026-09-25 02:51:51	33	1098094	41527	4.78	3.74	343	168
2026-09-25 02:51:51	33	1098275	41524	4.95	3.86	338	168
2026-09-25 02:51:51	33	1098459	41521	4.94	3.82	353	168
2026-09-25 03:12:51	34	1097148	42800	5.00	3.84	382	168
2026-09-25 03:12:52	34	1097262	42798	4.92	3.76	345	168
2026-09-25 03:12:52	34	1097442	42796	5.00	3.85	342	168
2026-09-25 03:12:52	34	1097667	42793	4.95	3.81	332	168
2026-09-25 03:12:52	34	1097888	42791	4.84	3.73	333	168
2026-09-25 03:12:52	34	1098094	42788	4.91	3.88	344	168
2026-09-25 03:12:52	34	1098275	42785	5.00	3.86	342	168
2026-09-25 03:12:52	34	1098459	42783	5.02	3.89	351	168
2026-09-25 03:33:53	35	1097148	44061	4.83	3.70	379	168
2026-09-25 03:33:53	35	1097262	44060	4.93	3.77	346	168
2026-09-25 03:33:53	35	1097442	44057	4.91	3.78	337	168
2026-09-25 03:33:53	35	1097667	44054	4.89	3.75	331	168
2026-09-25 03:33:53	35	1097888	44052	4.86	3.68	334	168
2026-09-25 03:33:53	35	1098094	44049	4.83	3.80	341	168
2026-09-25 03:33:53	35	1098275	44047	4.84	3.75	341	168
2026-09-25 03:33:54	35	1098459	44044	5.03	3.91	355	168
2026-09-25 03:54:54	36	1097148	45323	4.86	3.72	378	168
2026-09-25 03:54:54	36	1097262	45321	4.91	3.79	343	168
2026-09-25 03:54:54	36	1097442	45318	4.82	3.72	337	168
2026-09-25 03:54:55	36	1097667	45316	4.89	3.77	333	168
2026-09-25 03:54:55	36	1097888	45313	4.87	3.66	334	168
2026-09-25 03:54:55	36	1098094	45311	4.91	3.88	345	168
2026-09-25 03:54:55	36	1098275	45308	4.83	3.73	338	168
2026-09-25 03:54:55	36	1098459	45306	5.04	3.91	350	168
2026-09-25 04:15:56	37	1097148	46584	4.93	3.78	380	168
2026-09-25 04:15:56	37	1097262	46582	4.99	3.84	343	168
2026-09-25 04:15:56	37	1097442	46580	4.89	3.77	339	168
2026-09-25 04:15:56	37	1097667	46577	5.03	3.90	336	168
2026-09-25 04:15:56	37	1097888	46575	4.93	3.73	337	168
2026-09-25 04:15:56	37	1098094	46572	4.85	3.81	344	168
2026-09-25 04:15:56	37	1098275	46569	4.81	3.72	336	168
2026-09-25 04:15:56	37	1098459	46567	5.04	3.92	355	168
2026-09-25 04:36:57	38	1097148	47845	5.00	3.86	381	168
2026-09-25 04:36:57	38	1097262	47844	4.94	3.80	343	168
2026-09-25 04:36:57	38	1097442	47841	4.94	3.82	337	168
2026-09-25 04:36:57	38	1097667	47839	4.99	3.85	334	168
2026-09-25 04:36:57	38	1097888	47836	4.95	3.76	334	168
2026-09-25 04:36:57	38	1098094	47834	4.84	3.80	343	168
2026-09-25 04:36:58	38	1098275	47831	4.94	3.83	341	168
2026-09-25 04:36:58	38	1098459	47828	5.02	3.89	352	168
2026-09-25 04:57:58	39	1097148	49107	4.90	3.75	381	168
2026-09-25 04:57:58	39	1097262	49105	5.06	3.89	345	168
2026-09-25 04:57:58	39	1097442	49103	4.91	3.82	336	168
2026-09-25 04:57:59	39	1097667	49100	5.02	3.90	332	168
2026-09-25 04:57:59	39	1097888	49097	4.90	3.71	337	168
2026-09-25 04:57:59	39	1098094	49095	4.88	3.83	343	168
2026-09-25 04:57:59	39	1098275	49092	5.00	3.90	340	168
2026-09-25 04:57:59	39	1098459	49090	5.09	3.97	350	168
2026-09-25 05:19:00	40	1097148	50368	5.00	3.85	380	168
2026-09-25 05:19:00	40	1097262	50366	5.05	3.89	341	168
2026-09-25 05:19:00	40	1097442	50364	4.92	3.81	332	168
2026-09-25 05:19:00	40	1097667	50361	5.07	3.91	332	168
2026-09-25 05:19:00	40	1097888	50359	4.96	3.77	330	168
2026-09-25 05:19:00	40	1098094	50356	4.81	3.77	341	168
2026-09-25 05:19:00	40	1098275	50354	4.96	3.85	334	168
2026-09-25 05:19:00	40	1098459	50351	5.00	3.94	350	168
2026-09-25 05:40:01	41	1097148	51629	5.02	3.86	375	168
2026-09-25 05:40:01	41	1097262	51628	5.03	3.87	343	168
2026-09-25 05:40:01	41	1097442	51625	4.95	3.81	334	168
2026-09-25 05:40:01	41	1097667	51623	5.10	3.93	334	168
2026-09-25 05:40:01	41	1097888	51620	4.90	3.71	333	168
2026-09-25 05:40:02	41	1098094	51618	4.85	3.82	344	168
2026-09-25 05:40:02	41	1098275	51615	4.91	3.81	337	168
2026-09-25 05:40:02	41	1098459	51612	5.05	3.92	349	168
2026-09-25 06:01:02	42	1097148	52891	5.04	3.88	375	168
2026-09-25 06:01:02	42	1097262	52889	4.99	3.84	341	168
2026-09-25 06:01:03	42	1097442	52887	5.00	3.87	336	168
2026-09-25 06:01:03	42	1097667	52884	5.16	4.00	334	168
2026-09-25 06:01:03	42	1097888	52882	4.95	3.76	333	168
2026-09-25 06:01:03	42	1098094	52879	4.85	3.81	342	168
