[Epoch 111] lr=0.00019 loss(train_avg)=3.5438 val_top1=39568/50000 (0.7914) val_top5=0.9452 val_loss=0.906  [900.3s train, 17.6s val]
[Epoch 112] lr=0.000189 loss(train_avg)=3.5459 val_top1=39615/50000 (0.7923) val_top5=0.9456 val_loss=0.9048  [900.2s train, 17.6s val]
[Epoch 113] lr=0.000188 loss(train_avg)=3.5222 val_top1=39606/50000 (0.7921) val_top5=0.946 val_loss=0.9037  [899.3s train, 17.7s val]
[Epoch 114] lr=0.000187 loss(train_avg)=3.5312 val_top1=39603/50000 (0.7921) val_top5=0.9459 val_loss=0.9021  [900.4s train, 17.6s val]
[Epoch 115] lr=0.000185 loss(train_avg)=3.5132 val_top1=39590/50000 (0.7918) val_top5=0.9462 val_loss=0.9009  [899.2s train, 17.9s val]
[Epoch 116] lr=0.000184 loss(train_avg)=3.5177 val_top1=39618/50000 (0.7924) val_top5=0.9463 val_loss=0.8996  [899.2s train, 17.6s val]
[Epoch 117] lr=0.000183 loss(train_avg)=3.5288 val_top1=39656/50000 (0.7931) val_top5=0.9465 val_loss=0.9  [899.3s train, 17.7s val]
[Epoch 118] lr=0.000182 loss(train_avg)=3.5163 val_top1=39621/50000 (0.7924) val_top5=0.9461 val_loss=0.9002  [899.3s train, 17.6s val]
[Epoch 119] lr=0.00018 loss(train_avg)=3.5143 val_top1=39597/50000 (0.7919) val_top5=0.9468 val_loss=0.8983  [899.2s train, 17.6s val]
[Epoch 120] lr=0.000179 loss(train_avg)=3.521 val_top1=39623/50000 (0.7925) val_top5=0.9467 val_loss=0.8983  [899.4s train, 17.6s val]
[Epoch 121] lr=0.000178 loss(train_avg)=3.505 val_top1=39636/50000 (0.7927) val_top5=0.9465 val_loss=0.8974  [899.4s train, 17.9s val]
[Epoch 122] lr=0.000177 loss(train_avg)=3.4946 val_top1=39682/50000 (0.7936) val_top5=0.9472 val_loss=0.8951  [899.3s train, 17.6s val]
[Epoch 123] lr=0.000175 loss(train_avg)=3.505 val_top1=39670/50000 (0.7934) val_top5=0.9475 val_loss=0.8933  [900.4s train, 17.6s val]
[Epoch 124] lr=0.000174 loss(train_avg)=3.5063 val_top1=39724/50000 (0.7945) val_top5=0.9479 val_loss=0.8926  [899.4s train, 17.6s val]
[Epoch 125] lr=0.000173 loss(train_avg)=3.4937 val_top1=39739/50000 (0.7948) val_top5=0.9478 val_loss=0.8912  [900.5s train, 17.7s val]
[Epoch 126] lr=0.000172 loss(train_avg)=3.5001 val_top1=39738/50000 (0.7948) val_top5=0.9473 val_loss=0.8903  [899.4s train, 17.7s val]
