blackjack dqn: 6210 params, 200000 steps, batch 128, double DQN, seed 1
[pjrt_ffi] allocator: 1 create option(s), memory_fraction=0.100
I0911 16:45:55.849046 1907452 service.cc:154] XLA service 0x78e570028880 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
I0911 16:45:55.849076 1907452 service.cc:170]   StreamExecutor [0]: NVIDIA GeForce RTX 4060 Ti, Compute Capability 8.9 (Driver: 12.9.0[575.57.8]; Runtime: 12.9.0; Toolkit: 12.9.0; DNN: 9.23.2)
I0911 16:45:55.850576 1907452 se_gpu_pjrt_client.cc:1342] Using BFC allocator.
I0911 16:45:55.850618 1907452 gpu_helpers.cc:162] XLA backend allocating 1.56GiB (1673527296 bytes) on device 0 for BFCAllocator.
I0911 16:45:55.859511 1907452 cuda_dnn.cc:440] Loaded cuDNN version 92302
[pjrt_ffi] XLA backend: PJRT 0.114, 1 device(s)
[pjrt_ffi] command buffers: enabled (CUDA default)
I0911 16:45:56.789247 1907594 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_10', 4 bytes spill stores, 4 bytes spill loads

[pjrt_ffi] compiled .lake/build/blackjack_dqn_double_train_step.mlir (@main, 19 outputs, 1 replica) in 2594 ms
[pjrt_ffi] compiled .lake/build/blackjack_dqn_double_fwd_eval.mlir (@forward_eval, 1 outputs, 1 replica) in 758 ms
I0911 16:45:59.522839 1907583 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_3', 24 bytes spill stores, 24 bytes spill loads

[pjrt_ffi] compiled .lake/build/blackjack_dqn_double_fwd_eval_all.mlir (@forward_eval, 1 outputs, 1 replica) in 722 ms
  sessions loaded
  update 85000  hands 57545  loss 0.2370  exact -0.0619  agree 180/200  (264337 ms)
  update 86000  hands 58195  loss 0.2360  exact -0.0593  agree 183/200  (267372 ms)
  update 87000  hands 58855  loss 0.2350  exact -0.0605  agree 181/200  (270537 ms)
  update 88000  hands 59545  loss 0.2384  exact -0.0547  agree 185/200  (273644 ms)
  update 89000  hands 60228  loss 0.2394  exact -0.0587  agree 184/200  (276805 ms)
  update 90000  hands 60876  loss 0.2401  exact -0.0561  agree 182/200  (279933 ms)
  update 91000  hands 61533  loss 0.2392  exact -0.0582  agree 183/200  (283164 ms)
  update 92000  hands 62193  loss 0.2400  exact -0.0562  agree 187/200  (286303 ms)
  update 93000  hands 62849  loss 0.2442  exact -0.0664  agree 180/200  (289423 ms)
  update 94000  hands 63504  loss 0.2394  exact -0.0615  agree 182/200  (292544 ms)
  update 95000  hands 64154  loss 0.2372  exact -0.0573  agree 181/200  (295658 ms)
  update 96000  hands 64793  loss 0.2393  exact -0.0601  agree 181/200  (298803 ms)
  update 97000  hands 65433  loss 0.2395  exact -0.0535  agree 183/200  (301917 ms)
  update 98000  hands 66080  loss 0.2377  exact -0.0607  agree 180/200  (304996 ms)
  update 99000  hands 66724  loss 0.2390  exact -0.0538  agree 183/200  (308109 ms)
  update 100000  hands 67380  loss 0.2378  exact -0.0629  agree 183/200  (311239 ms)
  update 101000  hands 68041  loss 0.2396  exact -0.0598  agree 176/200  (314397 ms)
  update 102000  hands 68676  loss 0.2422  exact -0.0557  agree 181/200  (317546 ms)
  update 103000  hands 69308  loss 0.2404  exact -0.0531  agree 182/200  (320719 ms)
  update 104000  hands 69931  loss 0.2398  exact -0.0557  agree 178/200  (323844 ms)
